ESRogs_10_15200_22.cpp,1,84,13,49,5,30,1.40,9.80,1.63,0.58,49,5,30
girdevil_14_2641_25.cpp,1,54,11,31,1,22,1.35,31.00,1.41,0.57,31,1,22
Rip_09_2504_56.cpp,1,204,10,152,0,52,2.92,0.00,2.92,0.75,152,0,52
SoCalledName_11_9749_100.cpp,1,66,24,61,0,5,12.20,0.00,12.20,0.92,61,0,5
magicdlf_11_7216_65.cpp,1,63,13,56,2,5,8.00,28.00,11.20,0.89,56,2,5
Wideas_12_10127_53.cpp,1,28,25,26,0,2,13.00,0.00,13.00,0.93,26,0,2
wehtam_08_12027_50.cpp,1,107,24,90,1,16,5.29,90.00,5.62,0.84,90,1,16
Challanger_09_16611_76.cpp,1,128,22,119,0,9,13.22,0.00,13.22,0.93,119,0,9
tfeng2000_10_17389_43.c,1,102,18,89,6,8,6.36,14.83,11.12,0.87,89,6,8
hillboy_09_4831_99.cpp,1,44,18,39,0,5,7.80,0.00,7.80,0.89,39,0,5
Ferrazrenan_10_1150_36.cpp,1,70,17,58,0,12,4.83,0.00,4.83,0.83,58,0,12
aleksandari_08_3596_15.cpp,1,62,20,55,0,7,7.86,0.00,7.86,0.89,55,0,7
arthuraa_09_944_76.c,1,69,18,62,0,7,8.86,0.00,8.86,0.90,62,0,7
Skr_09_6017_76.cpp,1,197,15,140,0,57,2.46,0.00,2.46,0.71,140,0,57
locke2833_10_3518_42.cpp,1,59,13,52,0,7,7.43,0.00,7.43,0.88,52,0,7
forthright48_14_14383_55.cpp,1,57,14,52,4,1,10.40,13.00,52.00,0.91,52,4,1
manu.reddy_09_18798_48.cpp,1,69,16,65,3,1,16.25,21.67,65.00,0.94,65,3,1
Nek_14_16209_25.cpp,1,48,18,47,0,1,47.00,0.00,47.00,0.98,47,0,1
Cuphrody_14_14979_55.cpp,1,389,18,64,294,31,0.20,0.22,2.06,0.16,64,294,31
bood_12_12104_60.cpp,1,29,20,24,0,5,4.80,0.00,4.80,0.83,24,0,5
dzwiedziu_10_1353_99.cpp,1,61,20,53,2,6,6.62,26.50,8.83,0.87,53,2,6
fci.beta_12_8735_6.cpp,1,76,14,69,6,1,9.86,11.50,69.00,0.91,69,6,1
xneby_11_7595_55.cpp,1,181,17,145,10,26,4.03,14.50,5.58,0.80,145,10,26
parapax_14_3574_55.cpp,1,31,16,30,0,1,30.00,0.00,30.00,0.97,30,0,1
jarrah_09_10499_85.cpp,1,40,20,34,0,6,5.67,0.00,5.67,0.85,34,0,6
BuaaBella_13_11468_75.cpp,1,74,20,72,0,2,36.00,0.00,36.00,0.97,72,0,2
alvarolb_09_16565_43.cc,1,62,16,51,0,11,4.64,0.00,4.64,0.82,51,0,11
sednivo_08_4179_55.cpp,1,121,18,99,0,22,4.50,0.00,4.50,0.82,99,0,22
MindaugasD_14_16310_55.cpp,1,41,26,41,0,0,0.00,0.00,0.00,1.00,41,0,0
thomasan_09_3048_9.cpp,1,93,17,82,1,10,7.45,82.00,8.20,0.88,82,1,10
LeeWong_09_18584_99.cpp,1,37,24,34,2,1,11.33,17.00,34.00,0.92,34,2,1
sidgup_09_18007_68.cpp,1,117,13,99,0,18,5.50,0.00,5.50,0.85,99,0,18
tracyhenry_14_1238_55.cpp,1,187,18,153,9,26,4.37,17.00,5.88,0.82,153,9,26
mhoefs_08_267_75.cpp,1,150,24,104,38,18,1.86,2.74,5.78,0.69,104,38,18
FarzF13_09_15624_99.cpp,1,83,16,71,1,11,5.92,71.00,6.45,0.86,71,1,11
cheshire.cat_12_4769_63.cc,1,120,22,97,10,13,4.22,9.70,7.46,0.81,97,10,13
Soyoja_11_3797_30.cpp,1,90,15,74,2,14,4.62,37.00,5.29,0.82,74,2,14
Frank_09_10179_35.cpp,1,99,9,74,2,23,2.96,37.00,3.22,0.75,74,2,23
dinosaurs_13_1689_115.cpp,1,90,21,74,0,16,4.62,0.00,4.62,0.82,74,0,16
Sarum_12_1581_25.cpp,1,86,21,66,1,19,3.30,66.00,3.47,0.77,66,1,19
BlueGene_13_2828_80.cpp,1,96,20,90,0,6,15.00,0.00,15.00,0.94,90,0,6
Kary_10_10325_70.cpp,1,64,14,51,0,13,3.92,0.00,3.92,0.80,51,0,13
RegalSkeppet_13_13423_115.c,1,41,16,38,0,3,12.67,0.00,12.67,0.93,38,0,3
Claygirl_14_13906_90.cpp,1,31,16,26,0,5,5.20,0.00,5.20,0.84,26,0,5
eworman_11_15060_20.cpp,1,52,13,52,0,0,0.00,0.00,0.00,1.00,52,0,0
slashie_09_17360_29.cpp,1,219,16,180,0,39,4.62,0.00,4.62,0.82,180,0,39
tetrakai_14_15590_55.c,1,96,30,94,0,2,47.00,0.00,47.00,0.98,94,0,2
Ajayprabhu_11_13029_25.cpp,1,34,19,32,0,2,16.00,0.00,16.00,0.94,32,0,2
bbk_14_14321_42.cpp,1,62,20,41,20,1,1.95,2.05,41.00,0.66,41,20,1
S2333_13_10227_10.c,1,359,11,298,3,58,4.89,99.33,5.14,0.83,298,3,58
CharlesC_09_18568_49.cpp,1,77,13,74,0,3,24.67,0.00,24.67,0.96,74,0,3
a9108_12_1804_20.cpp,1,43,17,39,0,4,9.75,0.00,9.75,0.91,39,0,4
Eryx_08_3145_60.cpp,1,179,24,141,11,27,3.71,12.82,5.22,0.79,141,11,27
Kodack_10_4418_56.cpp,1,106,13,98,0,8,12.25,0.00,12.25,0.92,98,0,8
ZiX_09_18718_21.cpp,1,67,16,61,1,5,10.17,61.00,12.20,0.91,61,1,5
joeli_13_430_115.cc,1,125,13,94,0,31,3.03,0.00,3.03,0.75,94,0,31
vitor251093_14_15890_55.cpp,1,27,20,24,0,3,8.00,0.00,8.00,0.89,24,0,3
SpellBreaker_10_9154_31.cpp,1,74,20,74,0,0,0.00,0.00,0.00,1.00,74,0,0
TitoCode_12_15751_10.c,1,28,16,27,0,1,27.00,0.00,27.00,0.96,27,0,1
fkrafi_12_17098_60.c,1,34,11,27,1,7,3.38,27.00,3.86,0.79,27,1,7
wafrelka_13_5847_115.cpp,1,76,16,58,3,15,3.22,19.33,3.87,0.76,58,3,15
summerstar_10_12557_58.cpp,1,68,21,0,68,0,0.00,0.00,0.00,0.00,0,68,0
Jasko_08_5578_55.cpp,1,81,16,62,2,17,3.26,31.00,3.65,0.77,62,2,17
alextaim_11_10120_20.cpp,1,51,16,48,0,3,16.00,0.00,16.00,0.94,48,0,3
einwhite_09_7687_99.cpp,1,77,17,68,0,9,7.56,0.00,7.56,0.88,68,0,9
ArtHoly_12_11250_60.cpp,1,37,19,34,0,3,11.33,0.00,11.33,0.92,34,0,3
Klaus_13_7402_70.cpp,1,114,16,93,20,1,4.43,4.65,93.00,0.82,93,20,1
KwonSSY_09_17658_66.cpp,1,52,14,52,0,0,0.00,0.00,0.00,1.00,52,0,0
SunnyK_13_8570_40.cpp,1,165,14,141,6,18,5.88,23.50,7.83,0.85,141,6,18
xneby_13_7965_63.cpp,1,35,20,30,0,5,6.00,0.00,6.00,0.86,30,0,5
Jonathan_14_13085_55.cpp,1,87,14,71,1,15,4.44,71.00,4.73,0.82,71,1,15
n.singh_14_14789_90.cpp,1,133,24,119,2,12,8.50,59.50,9.92,0.89,119,2,12
Ygge_10_7689_99.cpp,1,45,18,40,2,3,8.00,20.00,13.33,0.89,40,2,3
tracyhenry_11_871_100.cpp,1,49,17,46,0,3,15.33,0.00,15.33,0.94,46,0,3
ll0377_14_13102_55.cpp,1,52,20,52,0,0,0.00,0.00,0.00,1.00,52,0,0
paulocezar_11_8471_70.cpp,1,116,20,88,0,28,3.14,0.00,3.14,0.76,88,0,28
wehtam_12_12064_10.cpp,1,59,15,52,2,5,7.43,26.00,10.40,0.88,52,2,5
morgan.xww_13_13674_46.cpp,1,213,19,161,6,46,3.10,26.83,3.50,0.76,161,6,46
Equinox_11_8097_38.cpp,1,51,22,44,3,4,6.29,14.67,11.00,0.86,44,3,4
dozing_13_12761_40.cpp,1,192,13,62,112,20,0.47,0.55,3.10,0.32,62,112,20
slip0110_12_11167_60.cpp,1,41,16,37,0,4,9.25,0.00,9.25,0.90,37,0,4
bijolt_14_3423_18.cpp,1,340,18,21,294,25,0.07,0.07,0.84,0.06,21,294,25
AhmedSherif_10_17777_20.c,1,171,25,114,24,46,1.63,4.75,2.48,0.67,114,24,46
Jasko_08_5598_25.cpp,1,151,22,125,0,26,4.81,0.00,4.81,0.83,125,0,26
cmdrkeen_14_13485_41.cpp,1,198,18,184,1,14,12.27,184.00,13.14,0.93,184,1,14
cmdrkeen_13_13266_33.cpp,1,71,16,57,8,6,4.07,7.12,9.50,0.80,57,8,6
tamara_08_5329_50.cpp,1,75,24,63,5,7,5.25,12.60,9.00,0.84,63,5,7
natalia_10_7883_50.cpp,1,111,16,87,0,24,3.62,0.00,3.62,0.78,87,0,24
rich_08_2247_30.cpp,1,33,21,33,0,0,0.00,0.00,0.00,1.00,33,0,0
Ramtararam_13_8690_22.cpp,1,78,19,61,0,17,3.59,0.00,3.59,0.78,61,0,17
